title_normalized,title_original,tmdb_id,year,director,tmdb_genres,overview,country,nanogenres,themes,lb_url
colorful,Colorful,64246,2010,Keiichi Hara,Animation|Drama|Family,"Upon reaching the train station to death, a dejected soul is informed that he is lucky and will have another chance at life. He is placed in the body of a 14-year-old boy named Kobayashi Makoto, who has just committed suicide. Watched over by a neutral spirit named Purapura, the soul must figure out what his greatest sin and mistake in his former life was, before his time limit in Makoto's body runs out. He also has a number of other lesser duties he must complete, such as understanding what led Makoto to commit suicide in the first place and learning how to enjoy his second chance at life.",JP,,vampire|life|young|dracula|tokyo,https://boxd.it/4UG
whisper of the heart,Whisper of the Heart,37797,1995,Yoshifumi Kondo,Animation|Drama|Family,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: ""Seiji Amasawa.""",JP,"Heartfelt, Imaginative, Magic|Cry, Romance, Loving|Weird, Imaginative, Creativity|Friendship, Naive, Endearing|Animation, Magic, Colorful|Delightful, Pleasant, Shy|Cry, Childhood, Magic|Charm, Lovable, Endearing|Cartoon, Cute, Child|Family, Friendship, Overcome",vampire|life|young|dracula|tokyo,https://boxd.it/17uy
metro manila,Metro Manila,158091,2013,Sean Ellis,Crime|Thriller|Drama|Action,"Looking for a brighter future in metropolitan Manila, Oscar Ramirez and his family leave their miserable life in the rice terraces of Banaue, in the northern Philippines. In the sweltering capital, where all kind of perils lurk in every corner, Oscar catches a lucky break when he is offered a steady work for an armored truck company and the senior officer Ong takes him under his wing.",PH,"Cops, Shootings, Gritty|Tense, Revelation, Secret|Dark, Thought-Provoking, Complexity|Thriller, Car, Dangerous|Emotion, Compelling, Flashy|Thrills, Guns, Realism|Gangster, Violence, Drama|Emotion, Exciting, Gripping|Heartfelt, Families, Society|Emotional, Families, Class",france|young|french|life|spain,https://boxd.it/4WXi
flipped,Flipped,43949,2010,Rob Reiner,Romance|Drama,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",US,"Cry, Loves, Girlfriend|Tear-Jerker, Charm, Lovely|Romance, Adorable, Girls|Heartfelt, Joy, Authentic|Feelings, Poignant, Adolescents|Charm, Lovable, Endearing|Cry, Bittersweet, Sensitive|Chemistry, Loves, Lovely|Cry, Cute, Smile|Chemistry, Adorable, Friendship",love|life|relationship|new|family,https://boxd.it/Tb8
the man in the moon,The Man in the Moon,17474,1991,Robert Mulligan,Drama|Romance,"Maureen Trant and her younger sibling Dani share a strong connection, but local boy Court Foster threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.",US,"Tear-Jerker, Charm, Lovely|Tear-Jerker, Families, Child|Heartfelt, Intriguing, Compelling|Cry, Sadness, Loves|Relationships, Tear-Jerker, Adolescents|Feelings, Romance, Poignant|Relationships, Sweet, Family|Teenager, Popular, Shy|Charming, Beloved, Overcome|Feelings, Struggles, Endearing",love|life|relationship|new|family,https://boxd.it/1ICO
tumbbad,Tumbbad,538858,2018,Rahi Anil Barve,Fantasy|Horror,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",IN,"Scary, Tense, Cliche|Gory, Thrills, Haunted|Eerie, Disturbing, Fear|Frighten, Thriller, Ghosts|Spooky, Mystery, Horrific|Spooky, Shock, Cliche|Horror, Mysterious, Intriguing|Creepy, Twist, Evil|Terrifying, Supernatural, Dark|Terror, Disturbing, Mysterious",vampire|life|young|dracula|tokyo,https://boxd.it/jDZk
stree,Stree,533991,2018,Amar Kaushik,Horror|Comedy,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",IN,"Frighten, Thriller, Ghosts|Slapstick, Catchy, Goofy|Supernatural, Twist, Killing|Jokes, Smile, Riot|Scary, Tense, Cliche|Scary, Dark, Climax|Jokes, Friendship, Mad|Terrifying, Mystery, Sinister|Killing, Execution, Revelation|Gory, Ghosts, Thrills",king|dragon|world|war|prince,https://boxd.it/jrdI
miracle in cell no. 7,Miracle in Cell No. 7,158445,2013,Lee Hwan-kyung,Drama|Comedy,A story about a mentally ill man wrongfully imprisoned for murder and his relationship with his 6 year old daughter.,KR,"Relationships, Cry, Moving|Relationships, Adorable, Smile|Relationships, Loving, Cruel|Tear-Jerker, Cute, Reality|Feelings, Moving, Crying|Romance, Poignant, Loving|Cry, Child, Lesson|Feelings, Joy, Happiness|Emotion, Engaging, Confused|Sweet, Loving, Crying",family|mother|son|home|woman,https://boxd.it/4Xws
war for the planet of the apes,War for the Planet of the Apes,281338,2017,Matt Reeves,Drama|Science Fiction|War,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",US,"Action, Blood, Brutal|Evil, Intriguing, Confusing|Powerful, Humans, Humanity|Fighting, Epic, Anti-Climactic|Tear-Jerker, Soldiers, Conflict|Death, Exciting, Cool|Death, Riveting, Anti-Climactic|Emotion, Humanity, Complexity|Victim, Villain, Explosives|Killing, Vision, Dying",earth|planet|world|space|new,https://boxd.it/8FE2
hope,Hope,255709,2013,Lee Joon-ik,Drama,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",KR,"Emotional, Shock, Extreme|Relationships, Families, Child|Tear-Jerker, Families, Engaging|Relationships, Heartbreaking, Soul|Shock, Rape, Brutally|Relationships, Sadness, Struggles|Feelings, Tragic, Melodrama|Tear-Jerker, Child, Reality|Cry, Child, Sadness|Tear-Jerker, Overcome, Sensitive",family|mother|son|home|woman,https://boxd.it/7x5Q
ju-on: the grudge,Ju-on: The Grudge,11838,2002,Takashi Shimizu,Horror,"When a social worker is sent to check on a traumatized elderly woman whose family have moved in at the site of a notorious murder case, she unwittingly unleashes a cycle of terror that transmits via its victims.",JP,"Ghosts, Mysterious, Fear|Spooky, Shock, Cliche|Spooky, Victim, Weird|Spooky, Blood, Dark|Spooky, Mystery, Unnerving|Creepy, Spirits, Spirit|Gory, Thrills, Haunted|Eerie, Disturbing, Fear|Terror, Supernatural, Surreal|Frighten, Grisly, Ghosts",group|killer|town|school|young,https://boxd.it/1SY6
marrowbone,Marrowbone,399366,2017,Sergio G. Sánchez,Thriller|Horror|Mystery,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.,ES,"Spooky, Mystery, Unnerving|Scary, Tense, Cliche|Gory, Thrills, Haunted|Supernatural, Sinister, Horrific|Twist, Spooky, Psychological|Tense, Mystery, Psychological|Eerie, Horrifying, Psychopath|Spooky, Guessing, Horrific|Eerie, Twist, Screaming|Terrifying, Mystery, Haunted",family|mother|son|home|woman,https://boxd.it/dZVC
wargames,WarGames,860,1983,John Badham,Drama|Science Fiction|Thriller,"High school student David Lightman has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Department of Defense's war computer and initiates a confrontation of global proportions. Together with his friend and a wizardly computer genius, David must race against time to outwit his opponent and prevent a nuclear Armageddon.",US,"Technological, High-Tech, Electronic|Nukes, Nation, Weapons|Predictable, Technological, War|War, Drama, Attacks|England, Civilian, Gripping|Chilling, Intense, Fear|School, Violence, Friendship|Civilian, Enemies, Orders|Thriller, Exciting, Intense|Exciting, Cool, Flashy",agent|bond|fbi|mission|james,https://boxd.it/29qU
raging bull,Raging Bull,1578,1980,Martin Scorsese,Drama|History,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",US,"Boxing, Emotional, Sports|Fighter, Intense, Fought|Relationships, Dream, Desire|Brutal, Moral, Environment|Brutal, Battle, Fists|Fighter, Fists, Punching|Cry, Lesson, Troubled|Fighter, Gritty, Wins|Relationships, Wins, Glory|Heartfelt, Complex, Affair",driver|life|prison|brother|car,https://boxd.it/28yI
cinema paradiso,Cinema Paradiso,11216,1988,Giuseppe Tornatore,Drama|Romance,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",IT,"Tear-Jerker, Beauty, Happiness|Relationships, Passionate, Lover|Relationships, Heartwarming, Lovable|Charm, Poignant, Lovely|Kids, Magic, Childhood|Powerful, Loving, Sentimental|Romance, Sentimental, Bittersweet|Relationships, Sentimental, Crying|Cry, Sadness, Loves|Chemistry, Loves, Lovely",film|life|music|documentary|album,https://boxd.it/1UlA
the apartment,The Apartment,284,1960,Billy Wilder,Comedy|Drama|Romance,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",US,"Funny, Delightful, Chemistry|Comedy, Romance, Intelligent|Chuckles, Charm, Wit|Hilarious, Lovable, Cynical|Gag, Romance, Smile|Drama, Cynical, Vulnerable|Hilarious, Chemistry, Reality|Funny, Popular, Genius|Emotion, Crazy, Complicated|Amusing, Lovable, One-Liners",driver|life|prison|brother|car,https://boxd.it/2aGE
poetry,Poetry,47909,2010,Lee Chang-dong,Drama,A South Korean woman in her sixties enrolls in a poetry class as she grapples with her faltering memory and her grandson's appalling wrongdoing.,KR,"Cry, Lesson, Joy|Feelings, Tragic, Subtlety|Heartfelt, Joy, Authentic|Feelings, Dream, Loving|Tear-Jerker, Society, Humanity|Relationships, Child, Tragic|Tear-Jerker, Teacher, Childhood|Emotion, Student, Class|Tear-Jerker, Profound, Thoughtful|Heartfelt, Reality, Desire",woman|love|story|film|life,https://boxd.it/JAs
han gong-ju,Han Gong-ju,229304,2014,Lee Su-jin,Drama,"After being involved in a traumatic incident, 17-year-old Gong-ju is forced to change schools. Uncared for by her parents, her previous teacher arranges for her to hide away at his mother's place. It takes time for her past to catch up with her, but when it does the revelation is devastating.",KR,,school|high|year|old|girl,https://boxd.it/6KZq
cape fear,Cape Fear,1598,1991,Martin Scorsese,Drama|Crime|Thriller,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",US,"Revenge, Brutal, Intense|Thrills, Cops, Gripping|Terrifying, Psychopath, Sadistic|Chilling, Psychotic, Brutally|Eerie, Teenager, Screaming|Shock, Insanity, Sadistic|Powerful, Twist, Gripping|Killer, Detectives, Clues|Frighten, Insanity, Psychological|Graphic, Nasty, Sadistic",murder|man|case|killer|detective,https://boxd.it/28vu
the collector,The Collector,42740,1965,William Wyler,Thriller,A man kidnaps a woman and holds her hostage just for the pleasure of having her there.,GB,"Scary, Murder, Psychotic|Emotion, Sexual, Passionate|Weird, Disturbing, Intriguing|Murderer, Compelling, Sympathy|Thriller, Drama, Sinister|Frighten, Disturbed, Sympathy|Humorous, Disturbed, Quirky|Tense, Mystery, Psychological|Scary, Thriller, Revelation|Disturbing, Erotic, Psychopath",group|killer|town|school|young,https://boxd.it/W8Q
muppets haunted mansion,Muppets Haunted Mansion,826914,2021,Kirk R. Thatcher,Comedy|Family|TV Movie,Gonzo is challenged to spend one night in The Haunted Mansion on Halloween night.,US,"Gag, Catchy, Light-Hearted|Animation, Jokes, Cute|Jokes, Friendship, Mad|Jokes, Kids, Charm|Gag, Charming, 1990s|Gag, Genius, Delight|Slapstick, Catchy, Goofy|Funny, Weird, Genius|Hilarious, Genius, Smile|Lyrics, Adorable, Voices",group|killer|town|school|young,https://boxd.it/vaTw
they live,They Live,8337,1988,John Carpenter,Science Fiction|Action|Thriller,A lone drifter stumbles upon a unique pair of sunglasses that reveal aliens are systematically gaining control of the Earth by masquerading as humans and lulling the public into submission.,US,"Aliens, Intelligent, Technology|One-Liners, Silly, Parody|Space, Extra-Terrestrial, Humans|Action, Evil, Goofy|Planet, Explosives, Mindless|Jokes, Bizarre, Cool|Fighting, Evil, Exciting|Space, Technology, Vision|Mystery, Conspiracy, Sinister|Technological, Sci-Fi, Excitement",earth|planet|world|space|new,https://boxd.it/20lm
halloween ii,Halloween II,11281,1981,Rick Rosenthal,Horror,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",US,"Victim, Bloody, Terrifying|Frighten, Graphic, Psychopath|Killer, Graphic, Terror|Creepy, Graphic, Screaming|Frighten, Grisly, Ghosts|Chilling, Child, Weird|Weird, Evil, Screaming|Chilling, Murder, Graphic|Terror, Driving, Psychopath|Slasher, Murder, Cult",group|killer|town|school|young,https://boxd.it/1UeE
the warriors,The Warriors,11474,1979,Walter Hill,Action|Thriller,"Prominent gang leader Cyrus calls a meeting of New York's gangs to set aside their turf wars and take over the city. At the meeting, a rival leader kills Cyrus, but a Coney Island gang called the Warriors is wrongly blamed for Cyrus' death. Before you know it, the cops and every gangbanger in town is hot on the Warriors' trail.",US,"Hero, Brutal, Crime|Fighting, Cool, Menacing|Violence, Gangs, Realism|Comic-Book, Hero, Exciting|Violence, Guns, Armed|Action, Blood, Brutal|Violence, Exciting, Fashion|Brutal, Gangs, Youth|Violence, Shootings, Dangerous|Cartoon, Fighting, Graphic",driver|life|prison|brother|car,https://boxd.it/1TLC
my girl,My Girl,4032,1991,Howard Zieff,Comedy|Drama,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",US,"Relationships, Tear-Jerker, Adolescents|Cry, Dying, Sadness|Cry, Cute, School|Cry, Sweet, Predictable|Comedy, Friendship, Poignant|Cliche, Adorable, Pleasant|Cry, Loves, Girlfriend|Cry, Moving, Sensitive|Relationships, Adorable, Smile|Humor, Adorable, Charm",old|mother|year|family|girl,https://boxd.it/24PK
planet of the apes,Planet of the Apes,871,1968,Franklin J. Schaffner,Science Fiction|Adventure|Drama|Action,"Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",US,"Future, Thought-Provoking, Philosophical|Eerie, Sci-Fi, Discover|Earth, Thought-Provoking, Humanity|Aliens, Intelligent, Humanity|Spaceship, Discover, Humans|Sci-Fi, Screaming, Mad|Eerie, Mystery, Imaginative|Scientific, Thought-Provoking, Philosophy|Powerful, Humans, Humanity|Space, Future, Imaginative",earth|planet|world|space|new,https://boxd.it/29p8
the muppet christmas carol,The Muppet Christmas Carol,10437,1992,Brian Henson,Music|Comedy|Family|Fantasy|Drama,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present and Future.",US,"Heartwarming, Delight, Joy|Charm, Imaginative, Magic|Gag, Catchy, Lovable|Lyrics, Adorable, Voices|Delightful, Lovable, Sentimental|Musical, Zany, Pleasant|Slapstick, Delightful, Adorable|Charming, Sentimental, Catchy|Gag, Charm, Delight|Dancing, Catchy, Dream",christmas|santa|harry|charlie|muppets,https://boxd.it/1WgC
monsters university,Monsters University,62211,2013,Dan Scanlon,Animation|Family,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,US,"Gag, Cartoon, Sweet|Cartoon, Evil, Adventure|Amusing, Predictable, School|Witty, Silly, Cartoon|Kids, Voices, Childhood|Funny, Kids, Imaginative|Animation, Villain, Colorful|Jokes, Student, Teenager|Gag, Animals, Lovable|Jokes, Smile, Genius",school|high|year|old|girl,https://boxd.it/bQm
unforgiven,Unforgiven,33,1992,Clint Eastwood,Western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",US,"Vengeance, Killing, Quest|Killing, Cowboy, Wild|Guns, Victim, Formulaic|Bloody, Revenge, Showdown|Killer, Villain, Avenge|Outlaw, Shootings, Horses|Killing, Moving, Loyalty|Hero, Loyalty, Glory|Hero, Battle, Realism|Killing, Shootings, Intense",murder|man|case|killer|detective,https://boxd.it/6Z4
the mist,The Mist,5876,2007,Frank Darabont,Horror|Science Fiction|Thriller,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping David Drayton and his five-year-old son in a local grocery store with other local residents. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",US,"Horror, Fear, Danger|Creepy, Screaming, Climax|Gory, Dread, Fear|Horror, Climax, Confused|Frighten, Gruesome, Screaming|Terrifying, Extreme, Confused|Death, Intense, Fear|Thrills, Blood, Dark|Eerie, Fear, Horrific|Horror, Mysterious, Darkness",group|killer|town|school|young,https://boxd.it/22r2
identity,Identity,2832,2003,James Mangold,Mystery|Thriller,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",US,"Thrills, Killer, Unexpected|Killing, Twist, Confused|Scary, Murder, Psychotic|Thrills, Guessing, Intriguing|Tense, Guessing, Mysterious|Supernatural, Blood, Mystery|Twist, Psychological, Suspects|Horror, Psychotic, Twisted|Eerie, Murder, Twist|Thriller, Frighten, Climax",group|killer|town|school|young,https://boxd.it/26e2
the muppet movie,The Muppet Movie,11176,1979,James Frawley,Family|Comedy|Adventure,"The Muppets gather to watch their newly-finished big-budget rich-and-famous feature film: a talent agent persuades Kermit the Frog to leave the swamp to pursue a career in Hollywood. On his way there, he meets a bear, a pig, a whatever (his future muppet crew), and some special celebrity guest stars, while being chased by the desperate owner of a frog-leg restaurant!",GB,"Songs, Adorable, Voices|Gag, Animals, Lovable|Gag, Catchy, Light-Hearted|Humorous, Wacky, Comedian|Amusing, Parody, One-Liners|Humor, Singing, Fame|Humor, Animation, Creativity|Charm, Imaginative, Magic|Hilarious, Delightful, Light-Hearted|Dancing, Catchy, Dream",christmas|santa|harry|charlie|muppets,https://boxd.it/1UrS
castaway on the moon,Castaway on the Moon,18438,2009,Lee Hae-jun,Drama|Comedy|Romance,"Mr. Kim is jobless, lost in debt and has been dumped by his girlfriend. He decides to end it all by jumping into the Han River – only to find himself washed up on a small, mid-river island. He soon abandons thoughts of suicide or rescue and begins a new life as a castaway. His antics catch the attention of a young woman whose apartment overlooks the river. Her discovery changes both their lives.",KR,"Gag, Romance, Smile|Weird, Dream, Journey|Chuckles, Romance, Wit|Jokes, Charming, Quirky|Feelings, Cute, Formulaic|Emotional, Depressed, Despair|Cry, Sadness, Joy|Romance, Heartwarming, Endearing|Relationships, Sadness, Soul|Feelings, Moving, Beauty",vampire|life|young|dracula|tokyo,https://boxd.it/1GXU
my sassy girl,My Sassy Girl,11178,2001,Kwak Jae-yong,Drama|Comedy|Romance,"A dweeby, mild-mannered man comes to the aid of a drunk young woman on a subway platform. Little does he know how much trouble he’s in for.",KR,"Feelings, Cute, Formulaic|Relationships, Chick-Flick, Boyfriend|Sweet, Chemistry, Lovely|Cry, Cute, Smile|Humorous, Chemistry, Chick-Flick|Feelings, Loves, Lovely|Feelings, Asia, Climax|Funny, Girlfriend, Dating|Hilarious, Romance, Smile|Wit, Charming, Dating",murder|man|case|killer|detective,https://boxd.it/1Ury
mother,Mother,30018,2009,Bong Joon Ho,Crime|Drama|Mystery,"A mother lives quietly with her son. One day, a girl is brutally killed, and the boy is charged with the murder. Now, it's his mother's mission to prove him innocent.",KR,"Killer, Detectives, Clues|Murderer, Shock, Intriguing|Murder, Tense, Fear|Tense, Guessing, Secret|Detectives, Murderer, Evidence|Murderer, Compelling, Sympathy|Gruesome, Revenge, Extreme|Suspense, Psychological, Revelation|Crime, Intriguing, Guilty|Killing, Guessing, Dark",family|mother|son|home|woman,https://boxd.it/1m9g
where the wild things are,Where the Wild Things Are,16523,2009,Spike Jonze,Fantasy|Drama|Adventure|Family,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",US,"Powerful, Childhood, Fears|Cry, Child, Sadness|Tear-Jerker, Disturbed, Sensitive|Heartfelt, Imaginative, Magic|Cry, Happiness, Joy|Moving, Childhood, Youth|Bizarre, Frighten, Psychological|Songs, Reality, Sensitive|Emotion, Crying, Depressed|Tear-Jerker, Beauty, Happiness",cat|monster|high|new|pirate,https://boxd.it/1K0C
million dollar baby,Million Dollar Baby,70,2004,Clint Eastwood,Drama,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",CH,"Boxing, Emotional, Sports|Relationships, Dream, Desire|Fighter, Gritty, Wins|Drama, Gritty, Loyalty|Killing, Unexpected, Smile|Action, Champion, Fighter|Fighter, Hero, Punching|Drama, Chemistry, Loves|Heartfelt, Storytelling, Flashy|Drama, Sympathy, Complicated",driver|life|prison|brother|car,https://boxd.it/2bdI
i saw the devil,I Saw the Devil,49797,2010,Kim Jee-woon,Thriller|Horror,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",KR,"Unsettling, Brutality, Graphic|Revenge, Brutal, Intense|Killing, Vengeance, Evil|Hero, Evil, Complex|Bloody, Disturbing, Psychotic|Murder, Gruesome, Brutality|Blood, Shock, Psychopath|Gruesome, Revenge, Extreme|Terrifying, Psychopath, Sadistic|Graphic, Nasty, Sadistic",vampire|life|young|dracula|tokyo,https://boxd.it/FaK
never let me go,Never Let Me Go,42188,2010,Mark Romanek,Drama|Romance|Science Fiction,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",GB,"Tear-Jerker, Suffering, Fate|Tear-Jerker, Sensitive, Society|Cry, Poignant, Sensitive|Frighten, Shock, Mystery|Reality, Profound, Humanity|Emotional, Poetic, Thoughtful|Powerful, Humanity, Compassion|Powerful, Child, Sympathy|Tear-Jerker, Child, Moral|Tear-Jerker, Kids, Lesson",school|high|year|old|girl,https://boxd.it/Xw0
misery,Misery,1700,1990,Rob Reiner,Drama|Thriller,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.",US,"Tense, Mystery, Psychological|Terror, Driving, Psychopath|Scary, Disturbing, Sinister|Eerie, Victim, Horrific|Killing, Driving, Fear|Thriller, Psychotic, Obsession|Frighten, Unnerving, Creep|Thrills, Frighten, Disturbed|Frighten, Graphic, Psychopath|Terror, Disturbing, Mysterious",murder|man|case|killer|detective,https://boxd.it/28gY
bridge to terabithia,Bridge to Terabithia,1265,2007,Gábor Csupó,Adventure|Drama|Family,"Jesse Aarons trained all summer to become the fastest runner in school. So he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences including that she's rich, he's poor, she's a city girl, and he's a country boy the two become fast friends. Together they create Terabithia, a land of monsters, trolls, ogres, and giants where they rule as king and queen.",US,"Cry, Child, Sadness|Sweet, Loving, Crying|Tear-Jerker, Family, Loving|Charm, Enchanted, Dream|Tear-Jerker, Child, Reality|Cry, Happiness, Joy|Cry, Cute, Teenager|Charming, Beloved, Overcome|Jokes, Fantasy, Childhood|Tear-Jerker, Beauty, Happiness",school|high|year|old|girl,https://boxd.it/28YG
eden lake,Eden Lake,13510,2008,James Watkins,Horror|Thriller,"When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.",GB,"Unsettling, Brutality, Graphic|Shock, Terrifying, Psychopath|Death, Intense, Fear|Suspense, Cliche, Danger|Bloody, Disturbing, Psychotic|Brutal, Shock, Extreme|Murder, Terror, Disturbing|Shock, Brutality, Disturbed|Graphic, Nasty, Sadistic|Cops, Anger, Rage",friends|love|couple|woman|young,https://boxd.it/1Q1m
totally killer,Totally Killer,974931,2023,Nahnatchka Khan,Horror|Comedy|Science Fiction,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",US,"Amusing, Campy, Goofy|Murder, Slasher, Death|Horror, Twist, Death|Comedy, Twisted, Unpredictable|Gruesome, Gross, Death|Creepy, Graphic, Screaming|Gory, Murderer, Stalking|Scary, Murderer, Guessing|Killer, Terror, Guessing|Creepy, Brutal, Death",group|killer|town|school|young,https://boxd.it/AOpG
slaxx,Slaxx,605133,2020,Elza Kephart,Horror|Comedy,"When a possessed pair of jeans begins to kill the staff of a trendy clothing store, it is up to Libby, an idealistic young salesclerk, to stop its bloody rampage.",CA,"Blood, Silly, Cult|Slasher, Murder, 1980s|Gruesome, Inventive, Slaughter|Frighten, Grisly, Nasty|Bloody, Victim, Nudity|Hilarious, Horrific, Cult|Slasher, Bodies, Cult|Gory, Murder, Stalking|Gory, Bizarre, Silly|Comedy, Inventive, Unexpected",murder|man|case|killer|detective,https://boxd.it/ml7K
dolls,Dolls,870,2002,Takeshi Kitano,Drama|Romance,"Dolls takes puppeteering as its overriding motif, which relates thematically to the action provided by the live characters. Chief among those tales is the story of Matsumoto and Sawako, a young couple whose relationship is about to be broken apart by the former's parents, who have insisted their son take part in an arranged marriage to his boss' daughter.",JP,"Relationships, Crying, Sadness|Feelings, Moving, Beauty|Romance, Sympathy, Desire|Heartfelt, Beauty, Desire|Powerful, Lonely, Crying|Cliche, Gorgeous, Dream|Heartfelt, Surreal, Japan|Tear-Jerker, Profound, Beauty|Powerful, Symbolism, Haunted|Cry, Romance, Loving",princess|fairy|kingdom|evil|prince,https://boxd.it/29pi
first love,First Love,597094,2019,Takashi Miike,Crime|Action|Comedy,"One night in Tokyo, Leo, a young boxer, meets his first love, Monica, an imprisoned sex worker. Caught up in a drug-smuggling scheme, they find themselves pursued by a corrupt cop, a yakuza, his nemesis, and a female assassin.",JP,"Crime, Brutal, Thug|Fighting, Guns, Stylish|Violence, Bizarre, Extreme|Bloody, Exciting, Shootout|Fighting, Cool, Killing|Killing, Vengeance, Evil|Suspense, Slick, Stylish|Emotional, Complicated, Storytelling|Superhero, Nerds, Justice|Cops, Asia, Slick",driver|life|prison|brother|car,https://boxd.it/m0iC
possum,Possum,472269,2018,Matthew Holness,Drama|Horror|Thriller,A disgraced children's puppeteer returns to his childhood home and is forced to confront his wicked stepfather and the secrets that have tortured him his entire life.,GB,"Horror, Mysterious, Intriguing|Eerie, Shock, Madness|Eerie, Blood, Horrifying|Spooky, Unsettling, Cult|Terror, Supernatural, Surreal|Creepy, Twist, Evil|Spooky, Disturbing, Bizarre|Terrifying, Thriller, Creep|Terrifying, Madness, Psychological|Spooky, Thriller, Climax",cat|monster|high|new|pirate,https://boxd.it/gW5u
